param revenue :=
  [*,1] P1 5.04851136532215, P2 8.82968369035379, P3 8.56789919787368, P4 7.08687122238756, 
  [*,2] P1 11.6944997010836, P2 10.6095754428053, P3 7.26958393676572, P4 5.26782627258071, 
  [*,3] P1 6.42668492440001, P2 7.41065867057905, P3 7.49854766206629, P4 6.52557470489151, 
  [*,4] P1 9.06776221496245, P2 5.39732258487778, P3 7.35095385289997, P4 5.77903038885266, 
  [*,5] P1 6.07930934121918, P2 9.87835596485779, P3 5.89371691871685, P4 6.43291425678342, 
  [*,6] P1 9.2986231434636, P2 10.3522637502829, P3 5.28085612236339, P4 5.19324533118028, 
  [*,7] P1 7.1638783085491, P2 8.56975718067305, P3 7.85726998968186, P4 6.79305755034685, 
  [*,8] P1 9.63831336198544, P2 8.53271877572507, P3 8.54930227607696, P4 5.77576313757076, 
  [*,9] P1 8.85043515056878, P2 9.72005994315214, P3 8.41940944314148, P4 5.50032983844271, 
  [*,10] P1 7.75166125540997, P2 6.79599536163619, P3 7.02253661359549, P4 6.62763459724494, 
  [*,11] P1 9.29227717270032, P2 11.487613960381, P3 5.07373230913937, P4 5.19424812776201, 
  [*,12] P1 10.4523023980942, P2 6.47898048326215, P3 6.98259410758688, P4 5.50525710152975, 
  [*,13] P1 8.69601668442214, P2 8.9045693212505, P3 8.72290632190207, P4 5.31249847883523, 
  [*,14] P1 8.846692869934, P2 8.41802789363974, P3 5.85346499863007, P4 5.26831336304087, 
  [*,15] P1 11.2310965577722, P2 6.857110661054, P3 5.94464139402205, P4 5.40279359956018, 
  [*,16] P1 8.5765556149957, P2 7.81511639055591, P3 7.59038706379523, P4 6.03083882200879, 
  [*,17] P1 5.32979677861966, P2 5.0155545691576, P3 8.90554302402918, P4 6.96823595304394, 
  [*,18] P1 7.54515355794878, P2 7.90993073326291, P3 6.81842387349419, P4 6.36000394522611, 
  [*,19] P1 7.11532856283121, P2 6.56444001627441, P3 6.43707144657485, P4 6.53870982493312, 
  [*,20] P1 7.51215670884336, P2 6.65062668585959, P3 7.31203834791358, P4 6.09817462715901, 
  [*,21] P1 5.32603658174686, P2 11.7184831336416, P3 7.91997896260161, P4 6.955348170853, 
  [*,22] P1 7.99278151528158, P2 8.64031780180087, P3 5.78215370406472, P4 5.7989215507316, 
  [*,23] P1 10.2666965229204, P2 10.7459830229787, P3 6.65301749458405, P4 5.58545115043768, 
  [*,24] P1 8.6485649169612, P2 6.43672099283645, P3 6.39668673262495, P4 5.78263769455001, 
  [*,25] P1 11.6863147148104, P2 7.63828423508554, P3 7.30969462453778, P4 5.74682216171642, 
  [*,26] P1 9.88029216190476, P2 6.909862144299, P3 8.29476509848718, P4 5.66262177230688, 
