param revenue :=
  [*,1] P1 10.5596799495951, P2 9.05714945920968, P3 6.33628347634327, P4 5.8554219239592, 
  [*,2] P1 11.2248874203769, P2 7.46896533650115, P3 6.92609700765932, P4 5.30377989875432, 
  [*,3] P1 6.05936711778757, P2 9.75769062683973, P3 10.6996588128638, P4 6.88233149110436, 
  [*,4] P1 11.283417861898, P2 5.38846123140336, P3 7.07246960059394, P4 5.15116549746175, 
  [*,5] P1 9.35866216982142, P2 5.2489406836098, P3 8.19521226051543, P4 6.31729358280654, 
  [*,6] P1 7.12768687780054, P2 10.4013085934084, P3 6.81722141429145, P4 5.77233191451123, 
  [*,7] P1 8.82448014859643, P2 10.0608304242867, P3 6.83845444623765, P4 5.90634680343999, 
  [*,8] P1 11.6363241208784, P2 6.90815894188354, P3 5.68299393686411, P4 5.71850310903838, 
  [*,9] P1 11.6976480821544, P2 9.79454746988415, P3 7.28938200911586, P4 5.41764428495032, 
  [*,10] P1 6.28779978144734, P2 8.35645274301343, P3 7.63168093625976, P4 5.8534287762011, 
  [*,11] P1 11.7455385119137, P2 7.99100216704433, P3 7.59946555215007, P4 5.69881820622124, 
  [*,12] P1 11.6335176743955, P2 7.47893093116482, P3 6.54021336580627, P4 5.43549057581108, 
  [*,13] P1 8.4430530690156, P2 8.84504015340856, P3 7.02340183931391, P4 6.54191739705865, 
  [*,14] P1 10.4594116774335, P2 7.59232076623504, P3 9.1017190322673, P4 5.85082964124763, 
  [*,15] P1 6.17148986714288, P2 8.8093063019369, P3 7.4385613465912, P4 6.391351195889, 
  [*,16] P1 8.04693819671585, P2 9.75363971505836, P3 8.58378636471529, P4 5.63377030184531, 
  [*,17] P1 11.301746046555, P2 7.67145646619475, P3 7.46991384435097, P4 6.34575457546411, 
  [*,18] P1 10.4038732669093, P2 6.46211515622332, P3 6.63821967956054, P4 5.76160830819402, 
  [*,19] P1 9.50673930025266, P2 6.12804965312522, P3 5.71579406433138, P4 6.18069501888801, 
  [*,20] P1 5.32084469978498, P2 7.43557945403974, P3 6.44351161299676, P4 6.6262282226888, 
  [*,21] P1 10.803722815321, P2 6.60212932186003, P3 6.87741041534693, P4 6.29305870639796, 
  [*,22] P1 11.4455354560024, P2 8.7696225855034, P3 5.32363611417662, P4 5.73661502282406, 
  [*,23] P1 9.65357861115349, P2 8.54379329498253, P3 5.44908759500189, P4 5.62817345479884, 
  [*,24] P1 10.17045798217, P2 9.54988371860148, P3 5.53971345105308, P4 6.05644444639352, 
  [*,25] P1 7.86139172949969, P2 11.234219513678, P3 7.51588956387729, P4 5.85452652907696, 
  [*,26] P1 9.50506840938082, P2 9.40371973005927, P3 6.21317143121291, P4 5.55296291194309, 
  [*,27] P1 6.38662981797136, P2 5.82143400246283, P3 10.9187552836096, P4 7.28040436745907, 
  [*,28] P1 9.82985360712468, P2 10.0382432197728, P3 5.41777420686673, P4 5.62527339659876, 
  [*,29] P1 5.28703724235998, P2 6.7539754887109, P3 5.9968845021484, P4 7.16481135106746, 
  [*,30] P1 7.11722667741714, P2 7.90684193436595, P3 6.40717057098652, P4 6.21676842789817, 
  [*,31] P1 5.41086419203347, P2 8.02761737241123, P3 8.75004098847957, P4 7.17458967548045, 
